player.playerId,player.player.player.givenName,player.player.player.surname,ID
CD_I292029,Cameron,Pedersen,11903
CD_I290801,Andrew,Gaff,11904
CD_I290838,Jack,Darling,11905
CD_I280722,Zac,Smith,11909
CD_I290527,Trent,McKenzie,11912
CD_I280711,Charlie,Dixon,11914
CD_I290817,Brandon,Matera,11915
CD_I291594,Harley,Bennell,11916
CD_I290627,Dion,Prestia,11917
CD_I293223,Seb,Tape,11918
CD_I290832,David,Swallow,11919
CD_I280918,Allen,Christensen,11920
CD_I281024,Maverick,Weller,11922
CD_I291304,Daniel,Gorringe,11924
CD_I291450,Alex,Johnson,11925
CD_I290738,Jared,Polec,11927
CD_I261384,Matthew,Wright,11929
CD_I281025,Luke,Russell,11930
CD_I290790,Matt,Shaw,11931
CD_I291545,Mitch,Wallis,11934
CD_I290826,Jamie,Cripps,11937
CD_I290160,Michael,Hibberd,11938
CD_I281085,Steven,May,11940
CD_I294877,Isaac,Smith,11941
CD_I260710,Paul,Puopolo,11942
CD_I291753,Sam,Day,11947
CD_I293813,Tom,Lynch,11948
CD_I290815,Tom,Nicholls,11951
CD_I290802,Ben,Jacobs,11952
CD_I290778,Luke,Parker,11953
CD_I280744,Luke,Breust,11954
CD_I280959,Nathan,Vardy,11955
CD_I280726,Tendai,Mzungu,11956
CD_I270303,Luke,Delaney,11959
CD_I290748,Josh,Green,11960
CD_I290106,Josh,Cowan,11962
CD_I290528,Max,Gawn,11966
CD_I291313,Jeremy,Howe,11967
CD_I292511,Zach,Tuohy,11973
CD_I291526,Luke,Dahlhaus,11974
CD_I290821,Alex,Fasolo,11977
CD_I290622,Mitch,Brown,11987
CD_I280934,Daniel,Talia,11989
CD_I290314,Lachlan,Keeffe,11991
CD_I281075,Rory,Thompson,11992
CD_I290746,Scott,Lycett,11994
CD_I291386,Ben,Sinclair,11996
CD_I280877,John,Butcher,12001
CD_I292145,Tom,Jonas,12002
CD_I294266,Tom,Hickey,12003
CD_I281013,Jason,Tutt,12007
